,No_modules,Module_per_bone,Module_snout_braincase_cheek_occotic,Module_snout_palatine_skullroof_floorbraincase_cheek_occotic_Lateral_side_braincase,Module_tout,Module_tout_plus,Module_dorsal_ventral,Module_sequence_ossification,Module_embryo
LM1,1,1,1,1,1,1,1,1,1
LM2,1,1,1,1,1,1,1,1,1
LM3,1,1,1,1,1,1,1,1,1
LM4,1,1,1,1,1,1,1,1,1
LM5,1,12,1,1,5,5,2,3,1
LM6,1,12,1,1,5,5,2,3,1
LM7,1,12,1,1,5,5,2,3,1
LM8,1,12,1,1,5,5,2,3,1
LM9,1,7,2,2,6,6,2,2,1
LM10,1,7,2,2,6,6,2,2,1
LM11,1,7,2,2,6,6,2,2,1
LM12,1,7,2,2,6,6,2,2,1
LM13,1,7,2,2,6,6,2,2,1
LM14,1,4,3,3,7,7,2,1,1
LM15,1,4,3,3,7,7,2,1,1
LM16,1,4,3,3,7,7,2,1,1
LM17,1,4,3,3,7,7,2,1,1
LM18,1,4,3,3,7,7,2,1,1
LM19,1,4,3,3,7,7,2,1,1
LM20,1,15,3,3,8,8,2,4,1
LM21,1,15,3,3,8,8,2,4,1
LM22,1,15,3,3,8,8,2,4,1
LM23,1,15,3,3,8,8,2,4,1
LM24,1,15,3,3,8,8,2,4,1
LM25,1,15,3,3,8,8,2,4,1
LM26,1,2,2,4,3,3,1,2,1
LM27,1,2,2,4,3,3,1,2,1
LM28,1,3,2,4,4,4,1,2,1
LM29,1,3,2,4,4,4,1,2,1
LM30,1,3,2,4,4,4,1,2,1
LM31,1,1,1,5,2,2,2,1,1
LM32,1,1,1,5,2,2,2,1,1
LM33,1,1,1,5,2,2,2,1,1
LM34,1,1,1,5,2,2,2,1,1
LM35,1,12,1,5,9,9,2,3,1
LM36,1,12,1,5,9,9,2,3,1
LM37,1,12,1,5,9,9,2,3,1
LM38,1,11,1,1,10,10,1,3,1
LM39,1,11,1,1,10,10,1,3,1
LM40,1,11,1,1,10,10,1,3,1
LM41,1,8,4,6,11,11,1,2,2
LM42,1,8,4,6,11,11,1,2,2
LM43,1,9,4,6,12,12,1,2,2
LM44,1,9,4,6,12,12,2,2,2
LM45,1,8,4,6,13,13,2,2,2
LM46,1,8,4,6,13,13,2,2,2
LM47,1,10,4,6,14,14,1,2,2
LM48,1,10,4,6,14,14,2,2,2
LM49,1,10,4,6,14,14,2,2,2
LM50,1,10,4,6,14,14,2,2,2
LM51,1,6,1,5,15,15,2,4,1
LM52,1,6,1,5,15,15,2,4,1
LM53,1,6,1,5,15,15,2,4,1
LM54,1,6,1,5,15,15,2,4,1
LM55,1,8,4,6,13,13,2,2,2
LM56,1,8,4,6,13,13,2,2,2
LM57,1,8,4,6,13,13,2,2,2
LM58,1,8,4,6,11,11,1,2,2
LM59,1,8,4,6,11,11,1,2,2
LM60,1,10,4,6,14,14,2,2,2
LM61,1,10,4,6,14,14,1,2,2
LM62,1,10,4,6,14,14,2,2,2
LM63,1,10,4,6,14,14,1,2,2
LM64,1,10,4,6,14,14,1,2,2
LM65,1,8,4,6,13,13,2,2,2
LM66,1,5,3,3,16,16,2,3,2
LM67,1,5,3,3,16,16,2,3,2
LM68,1,5,3,3,16,16,2,3,2
LM69,1,5,3,3,16,19,2,3,2
LM70,1,10,4,6,14,14,1,2,2
LM71,1,5,3,3,16,19,2,3,2
LM72,1,3,2,4,4,4,1,2,1
LM73,1,3,2,4,4,4,1,2,1
LM74,1,2,2,4,3,3,1,2,1
LM75,1,2,2,4,3,3,1,2,1
LM76,1,10,4,6,14,14,1,2,2
LM77,1,5,3,3,16,19,2,2,2
LM78,1,14,2,7,17,17,2,2,2
LM79,1,14,2,7,17,17,2,2,2
LM80,1,14,2,7,17,17,2,2,2
LM81,1,14,2,7,17,17,2,2,2
LM82,1,13,1,1,18,18,1,3,1
LM83,1,13,1,1,18,18,1,3,1
LM84,1,13,1,1,18,18,1,3,1
LM85,1,13,1,1,18,18,1,3,1
LM86,1,10,4,6,14,14,2,2,2
LM87,1,10,4,6,14,14,2,2,2
curve1-1,1,1,1,1,1,1,1,1,1
curve1-2,1,1,1,1,1,1,1,1,1
curve1-3,1,1,1,1,1,1,1,1,1
curve1-4,1,1,1,1,1,1,1,1,1
curve1-5,1,1,1,1,1,1,1,1,1
curve1-6,1,1,1,1,1,1,1,1,1
curve1-7,1,1,1,1,1,1,1,1,1
curve1-8,1,1,1,1,1,1,1,1,1
curve1-9,1,1,1,1,1,1,1,1,1
curve1-10,1,1,1,1,1,1,1,1,1
curve2-1,1,1,1,1,1,1,1,1,1
curve2-2,1,1,1,1,1,1,1,1,1
curve2-3,1,1,1,1,1,1,1,1,1
curve2-4,1,1,1,1,1,1,1,1,1
curve2-5,1,1,1,1,1,1,1,1,1
curve2-6,1,1,1,1,1,1,1,1,1
curve2-7,1,1,1,1,1,1,1,1,1
curve2-8,1,1,1,1,1,1,1,1,1
curve3-1,1,1,1,1,1,1,1,1,1
curve3-2,1,1,1,1,1,1,1,1,1
curve3-3,1,1,1,1,1,1,1,1,1
curve4-1,1,1,1,1,1,1,1,1,1
curve4-2,1,1,1,1,1,1,1,1,1
curve4-3,1,1,1,1,1,1,1,1,1
curve4-4,1,1,1,1,1,1,1,1,1
curve4-5,1,1,1,1,1,1,1,1,1
curve5-1,1,1,1,5,2,2,2,1,1
curve5-2,1,1,1,5,2,2,2,1,1
curve5-3,1,1,1,5,2,2,2,1,1
curve6-1,1,1,1,5,2,2,2,1,1
curve6-2,1,1,1,5,2,2,2,1,1
curve6-3,1,1,1,5,2,2,2,1,1
curve6-4,1,1,1,5,2,2,2,1,1
curve6-5,1,1,1,5,2,2,2,1,1
curve7-1,1,1,1,5,2,2,2,1,1
curve7-2,1,1,1,5,2,2,2,1,1
curve7-3,1,1,1,5,2,2,2,1,1
curve8-1,1,1,1,5,2,2,2,1,1
curve8-2,1,1,1,5,2,2,2,1,1
curve8-3,1,1,1,5,2,2,2,1,1
curve8-4,1,1,1,5,2,2,2,1,1
curve8-5,1,1,1,5,2,2,2,1,1
curve8-6,1,1,1,5,2,2,2,1,1
curve8-7,1,1,1,5,2,2,2,1,1
curve8-8,1,1,1,5,2,2,2,1,1
curve9-1,1,2,2,4,3,3,1,3,1
curve9-2,1,2,2,4,3,3,1,3,1
curve9-3,1,2,2,4,3,3,1,3,1
curve9-4,1,2,2,4,3,3,1,3,1
curve9-5,1,2,2,4,3,3,1,3,1
curve9-6,1,2,2,4,3,3,1,3,1
curve9-7,1,2,2,4,3,3,1,3,1
curve9-8,1,2,2,4,3,3,1,3,1
curve9-9,1,2,2,4,3,3,1,3,1
curve9-10,1,2,2,4,3,3,1,3,1
curve9-11,1,2,2,4,3,3,1,3,1
curve9-12,1,2,2,4,3,3,1,3,1
curve10-1,1,2,2,4,3,3,1,3,1
curve10-2,1,2,2,4,3,3,1,3,1
curve10-3,1,2,2,4,3,3,1,3,1
curve10-4,1,2,2,4,3,3,1,3,1
curve10-5,1,2,2,4,3,3,1,3,1
curve10-6,1,2,2,4,3,3,1,3,1
curve10-7,1,2,2,4,3,3,1,3,1
curve10-8,1,2,2,4,3,3,1,3,1
curve10-9,1,2,2,4,3,3,1,3,1
curve10-10,1,2,2,4,3,3,1,3,1
curve11-1,1,3,2,4,4,4,1,3,1
curve11-2,1,3,2,4,4,4,1,3,1
curve11-3,1,3,2,4,4,4,1,3,1
curve11-4,1,3,2,4,4,4,1,3,1
curve11-5,1,3,2,4,4,4,1,3,1
curve11-6,1,3,2,4,4,4,1,3,1
curve11-7,1,3,2,4,4,4,1,3,1
curve11-8,1,3,2,4,4,4,1,3,1
curve12-1,1,3,2,4,4,4,1,3,1
curve12-2,1,3,2,4,4,4,1,3,1
curve12-3,1,3,2,4,4,4,1,3,1
curve12-4,1,3,2,4,4,4,1,3,1
curve12-5,1,3,2,4,4,4,1,3,1
curve13-1,1,3,2,4,4,4,1,3,1
curve13-2,1,3,2,4,4,4,1,3,1
curve13-3,1,3,2,4,4,4,1,3,1
curve13-4,1,3,2,4,4,4,1,3,1
curve13-5,1,3,2,4,4,4,1,3,1
curve13-6,1,3,2,4,4,4,1,3,1
curve14-1,1,3,2,4,4,4,1,3,1
curve14-2,1,3,2,4,4,4,1,3,1
curve14-3,1,3,2,4,4,4,1,3,1
curve14-4,1,3,2,4,4,4,1,3,1
curve14-5,1,3,2,4,4,4,1,3,1
curve14-6,1,3,2,4,4,4,1,3,1
curve14-7,1,3,2,4,4,4,1,3,1
curve14-8,1,3,2,4,4,4,1,3,1
curve14-9,1,3,2,4,4,4,1,3,1
curve14-10,1,3,2,4,4,4,1,3,1
curve15-1,1,2,2,4,3,3,1,3,1
curve15-2,1,2,2,4,3,3,1,3,1
curve15-3,1,2,2,4,3,3,1,3,1
curve15-4,1,2,2,4,3,3,1,3,1
curve15-5,1,2,2,4,3,3,1,3,1
curve15-6,1,2,2,4,3,3,1,3,1
curve15-7,1,2,2,4,3,3,1,3,1
curve15-8,1,2,2,4,3,3,1,3,1
curve15-9,1,2,2,4,3,3,1,3,1
curve15-10,1,2,2,4,3,3,1,3,1
curve16-1,1,2,2,4,3,3,1,3,1
curve16-2,1,2,2,4,3,3,1,3,1
curve16-3,1,2,2,4,3,3,1,3,1
curve16-4,1,2,2,4,3,3,1,3,1
curve16-5,1,2,2,4,3,3,1,3,1
curve16-6,1,2,2,4,3,3,1,3,1
curve17-1,1,3,2,4,4,4,1,3,1
curve17-2,1,3,2,4,4,4,1,3,1
curve17-3,1,3,2,4,4,4,1,3,1
curve17-4,1,3,2,4,4,4,1,3,1
curve17-5,1,3,2,4,4,4,1,3,1
curve17-6,1,3,2,4,4,4,1,3,1
curve18-1,1,4,3,3,7,7,2,1,1
curve18-2,1,4,3,3,7,7,2,1,1
curve18-3,1,4,3,3,7,7,2,1,1
curve18-4,1,4,3,3,7,7,2,1,1
curve18-5,1,4,3,3,7,7,2,1,1
curve18-6,1,4,3,3,7,7,2,1,1
curve18-7,1,4,3,3,7,7,2,1,1
curve18-8,1,4,3,3,7,7,2,1,1
curve19-1,1,4,3,3,7,7,2,1,1
curve19-2,1,4,3,3,7,7,2,1,1
curve19-3,1,4,3,3,7,7,2,1,1
curve19-4,1,4,3,3,7,7,2,1,1
curve19-5,1,4,3,3,7,7,2,1,1
curve20-1,1,4,3,3,7,7,2,1,1
curve20-2,1,4,3,3,7,7,2,1,1
curve20-3,1,4,3,3,7,7,2,1,1
curve20-4,1,4,3,3,7,7,2,1,1
curve20-5,1,4,3,3,7,7,2,1,1
curve21-1,1,4,3,3,7,7,2,1,1
curve21-2,1,4,3,3,7,7,2,1,1
curve21-3,1,4,3,3,7,7,2,1,1
curve21-4,1,4,3,3,7,7,2,1,1
curve21-5,1,4,3,3,7,7,2,1,1
curve22-1,1,4,3,3,7,7,2,1,1
curve22-2,1,4,3,3,7,7,2,1,1
curve22-3,1,4,3,3,7,7,2,1,1
curve22-4,1,4,3,3,7,7,2,1,1
curve22-5,1,4,3,3,7,7,2,1,1
curve23-1,1,4,3,3,7,7,2,1,1
curve23-2,1,4,3,3,7,7,2,1,1
curve23-3,1,4,3,3,7,7,2,1,1
curve23-4,1,4,3,3,7,7,2,1,1
curve23-5,1,4,3,3,7,7,2,1,1
curve23-6,1,4,3,3,7,7,2,1,1
curve23-7,1,4,3,3,7,7,2,1,1
curve23-8,1,4,3,3,7,7,2,1,1
curve24-1,1,5,3,3,16,16,2,3,2
curve24-2,1,5,3,3,16,16,2,3,2
curve24-3,1,5,3,3,16,16,2,3,2
curve25-1,1,5,3,3,16,16,2,3,2
curve25-2,1,5,3,3,16,16,2,3,2
curve25-3,1,5,3,3,16,16,2,3,2
curve26-1,1,5,3,3,16,16,2,3,2
curve26-2,1,5,3,3,16,16,2,3,2
curve26-3,1,5,3,3,16,16,2,3,2
curve27-1,1,5,3,3,16,19,2,3,2
curve27-2,1,5,3,3,16,19,2,3,2
curve27-3,1,5,3,3,16,19,2,3,2
curve27-4,1,5,3,3,16,19,2,3,2
curve27-5,1,5,3,3,16,19,2,3,2
curve27-6,1,5,3,3,16,19,2,3,2
curve27-7,1,5,3,3,16,19,2,3,2
curve27-8,1,5,3,3,16,19,2,3,2
curve28-1,1,5,3,3,16,19,2,3,2
curve28-2,1,5,3,3,16,19,2,3,2
curve28-3,1,5,3,3,16,19,2,3,2
curve28-4,1,5,3,3,16,19,2,3,2
curve28-5,1,5,3,3,16,19,2,3,2
curve28-6,1,5,3,3,16,19,2,3,2
curve29-1,1,5,3,3,16,19,2,3,2
curve29-2,1,5,3,3,16,19,2,3,2
curve29-3,1,5,3,3,16,19,2,3,2
curve29-4,1,5,3,3,16,19,2,3,2
curve30-1,1,5,3,3,16,19,2,3,2
curve30-2,1,5,3,3,16,19,2,3,2
curve30-3,1,5,3,3,16,19,2,3,2
curve30-4,1,5,3,3,16,19,2,3,2
curve30-5,1,5,3,3,16,19,2,3,2
curve31-1,1,5,3,3,16,19,2,3,2
curve31-2,1,5,3,3,16,19,2,3,2
curve31-3,1,5,3,3,16,19,2,3,2
curve32-1,1,5,3,3,16,19,2,3,2
curve32-2,1,5,3,3,16,19,2,3,2
curve32-3,1,5,3,3,16,19,2,3,2
curve32-4,1,5,3,3,16,19,2,3,2
curve32-5,1,5,3,3,16,19,2,3,2
curve33-1,1,7,2,2,6,6,2,2,1
curve33-2,1,7,2,2,6,6,2,2,1
curve33-3,1,7,2,2,6,6,2,2,1
curve33-4,1,7,2,2,6,6,2,2,1
curve33-5,1,7,2,2,6,6,2,2,1
curve33-6,1,7,2,2,6,6,2,2,1
curve33-7,1,7,2,2,6,6,2,2,1
curve33-8,1,7,2,2,6,6,2,2,1
curve34-1,1,7,2,2,6,6,2,2,1
curve34-2,1,7,2,2,6,6,2,2,1
curve34-3,1,7,2,2,6,6,2,2,1
curve34-4,1,7,2,2,6,6,2,2,1
curve34-5,1,7,2,2,6,6,2,2,1
curve35-1,1,7,2,2,6,6,2,2,1
curve35-2,1,7,2,2,6,6,2,2,1
curve35-3,1,7,2,2,6,6,2,2,1
curve35-4,1,7,2,2,6,6,2,2,1
curve35-5,1,7,2,2,6,6,2,2,1
curve35-6,1,7,2,2,6,6,2,2,1
curve35-7,1,7,2,2,6,6,2,2,1
curve35-8,1,7,2,2,6,6,2,2,1
curve36-1,1,7,2,2,6,6,2,2,1
curve36-2,1,7,2,2,6,6,2,2,1
curve36-3,1,7,2,2,6,6,2,2,1
curve36-4,1,7,2,2,6,6,2,2,1
curve36-5,1,7,2,2,6,6,2,2,1
curve36-6,1,7,2,2,6,6,2,2,1
curve37-1,1,7,2,2,6,6,2,2,1
curve37-2,1,7,2,2,6,6,2,2,1
curve37-3,1,7,2,2,6,6,2,2,1
curve37-4,1,7,2,2,6,6,2,2,1
curve37-5,1,7,2,2,6,6,2,2,1
curve37-6,1,7,2,2,6,6,2,2,1
curve37-7,1,7,2,2,6,6,2,2,1
curve37-8,1,7,2,2,6,6,2,2,1
curve37-9,1,7,2,2,6,6,2,2,1
curve37-10,1,7,2,2,6,6,2,2,1
curve38-1,1,6,1,5,15,15,2,4,1
curve38-2,1,6,1,5,15,15,2,4,1
curve38-3,1,6,1,5,15,15,2,4,1
curve38-4,1,6,1,5,15,15,2,4,1
curve38-5,1,6,1,5,15,15,2,4,1
curve38-6,1,6,1,5,15,15,2,4,1
curve38-7,1,6,1,5,15,15,2,4,1
curve38-8,1,6,1,5,15,15,2,4,1
curve39-1,1,6,1,5,15,15,2,4,1
curve39-2,1,6,1,5,15,15,2,4,1
curve39-3,1,6,1,5,15,15,2,4,1
curve39-4,1,6,1,5,15,15,2,4,1
curve39-5,1,6,1,5,15,15,2,4,1
curve39-6,1,6,1,5,15,15,2,4,1
curve39-7,1,6,1,5,15,15,2,4,1
curve39-8,1,6,1,5,15,15,2,4,1
curve39-9,1,6,1,5,15,15,2,4,1
curve39-10,1,6,1,5,15,15,2,4,1
curve39-11,1,6,1,5,15,15,2,4,1
curve39-12,1,6,1,5,15,15,2,4,1
curve39-13,1,6,1,5,15,15,2,4,1
curve39-14,1,6,1,5,15,15,2,4,1
curve39-15,1,6,1,5,15,15,2,4,1
curve40-1,1,6,1,5,15,15,2,4,1
curve40-2,1,6,1,5,15,15,2,4,1
curve40-3,1,6,1,5,15,15,2,4,1
curve40-4,1,6,1,5,15,15,2,4,1
curve40-5,1,6,1,5,15,15,2,4,1
curve40-6,1,6,1,5,15,15,2,4,1
curve40-7,1,6,1,5,15,15,2,4,1
curve40-8,1,6,1,5,15,15,2,4,1
curve41-1,1,6,1,5,15,15,2,4,1
curve41-2,1,6,1,5,15,15,2,4,1
curve41-3,1,6,1,5,15,15,2,4,1
curve41-4,1,6,1,5,15,15,2,4,1
curve41-5,1,6,1,5,15,15,2,4,1
curve41-6,1,6,1,5,15,15,2,4,1
curve41-7,1,6,1,5,15,15,2,4,1
curve41-8,1,6,1,5,15,15,2,4,1
curve41-9,1,6,1,5,15,15,2,4,1
curve41-10,1,6,1,5,15,15,2,4,1
curve42-1,1,8,4,6,13,13,2,2,2
curve42-2,1,8,4,6,13,13,2,2,2
curve43-1,1,8,4,6,13,13,2,2,2
curve43-2,1,8,4,6,13,13,2,2,2
curve43-3,1,8,4,6,13,13,2,2,2
curve43-4,1,8,4,6,13,13,2,2,2
curve44-1,1,8,4,6,13,13,2,2,2
curve44-2,1,8,4,6,13,13,2,2,2
curve45-1,1,8,4,6,11,11,1,2,2
curve45-2,1,8,4,6,11,11,1,2,2
curve45-3,1,8,4,6,11,11,1,2,2
curve45-4,1,8,4,6,11,11,1,2,2
curve45-5,1,8,4,6,11,11,1,2,2
curve45-6,1,8,4,6,11,11,1,2,2
curve45-7,1,8,4,6,11,11,1,2,2
curve45-8,1,8,4,6,11,11,1,2,2
curve46-1,1,8,4,6,11,11,1,2,2
curve46-2,1,8,4,6,11,11,1,2,2
curve46-3,1,8,4,6,11,11,1,2,2
curve46-4,1,8,4,6,11,11,1,2,2
curve47-1,1,8,4,6,11,11,1,2,2
curve47-2,1,8,4,6,11,11,1,2,2
curve47-3,1,8,4,6,11,11,1,2,2
curve48-1,1,8,4,6,11,11,1,2,2
curve48-2,1,8,4,6,11,11,1,2,2
curve48-3,1,8,4,6,11,11,1,2,2
curve48-4,1,8,4,6,11,11,1,2,2
curve48-5,1,8,4,6,11,11,1,2,2
curve48-6,1,8,4,6,11,11,1,2,2
curve49-1,1,9,4,6,12,12,2,2,2
curve49-2,1,9,4,6,12,12,2,2,2
curve49-3,1,9,4,6,12,12,2,2,2
curve49-4,1,9,4,6,12,12,2,2,2
curve49-5,1,9,4,6,12,12,2,2,2
curve50-1,1,9,4,6,12,12,2,2,2
curve50-2,1,9,4,6,12,12,2,2,2
curve50-3,1,9,4,6,12,12,2,2,2
curve50-4,1,9,4,6,12,12,2,2,2
curve51-1,1,8,4,6,13,13,2,2,2
curve51-2,1,8,4,6,13,13,2,2,2
curve52-1,1,8,4,6,13,13,2,2,2
curve52-2,1,8,4,6,13,13,2,2,2
curve52-3,1,8,4,6,13,13,2,2,2
curve52-4,1,8,4,6,13,13,2,2,2
curve53-1,1,8,4,6,13,13,2,2,2
curve53-2,1,8,4,6,13,13,2,2,2
curve54-1,1,8,4,6,13,13,2,2,2
curve54-2,1,8,4,6,13,13,2,2,2
curve55-1,1,8,4,6,13,13,2,2,2
curve55-2,1,8,4,6,13,13,2,2,2
curve58-1,1,10,4,6,14,14,1,2,2
curve58-2,1,10,4,6,14,14,1,2,2
curve58-3,1,10,4,6,14,14,1,2,2
curve58-4,1,10,4,6,14,14,1,2,2
curve60-1,1,10,4,6,14,14,2,2,2
curve60-2,1,10,4,6,14,14,2,2,2
curve60-3,1,10,4,6,14,14,2,2,2
curve61-1,1,10,4,6,14,14,2,2,2
curve61-2,1,10,4,6,14,14,2,2,2
curve61-3,1,10,4,6,14,14,2,2,2
curve61-4,1,10,4,6,14,14,2,2,2
curve62-1,1,10,4,6,14,14,2,2,2
curve62-2,1,10,4,6,14,14,2,2,2
curve63-1,1,10,4,6,14,14,2,2,2
curve63-2,1,10,4,6,14,14,2,2,2
curve63-3,1,10,4,6,14,14,2,2,2
curve63-4,1,10,4,6,14,14,2,2,2
curve63-5,1,10,4,6,14,14,2,2,2
curve63-6,1,10,4,6,14,14,2,2,2
curve63-7,1,10,4,6,14,14,2,2,2
curve63-8,1,10,4,6,14,14,2,2,2
curve64-1,1,10,4,6,14,14,2,2,2
curve64-2,1,10,4,6,14,14,2,2,2
curve64-3,1,10,4,6,14,14,2,2,2
curve64-4,1,10,4,6,14,14,2,2,2
curve64-5,1,10,4,6,14,14,2,2,2
curve64-6,1,10,4,6,14,14,2,2,2
curve65-1,1,11,1,1,10,10,1,3,1
curve65-2,1,11,1,1,10,10,1,3,1
curve65-3,1,11,1,1,10,10,1,3,1
curve65-4,1,11,1,1,10,10,1,3,1
curve65-5,1,11,1,1,10,10,1,3,1
curve65-6,1,11,1,1,10,10,1,3,1
curve66-1,1,11,1,1,10,10,1,3,1
curve66-2,1,11,1,1,10,10,1,3,1
curve66-3,1,11,1,1,10,10,1,3,1
curve66-4,1,11,1,1,10,10,1,3,1
curve66-5,1,11,1,1,10,10,1,3,1
curve66-6,1,11,1,1,10,10,1,3,1
curve67-1,1,11,1,1,10,10,1,3,1
curve67-2,1,11,1,1,10,10,1,3,1
curve67-3,1,11,1,1,10,10,1,3,1
curve67-4,1,11,1,1,10,10,1,3,1
curve67-5,1,11,1,1,10,10,1,3,1
curve67-6,1,11,1,1,10,10,1,3,1
curve67-7,1,11,1,1,10,10,1,3,1
curve67-8,1,11,1,1,10,10,1,3,1
curve68-1,1,12,1,1,5,5,2,3,1
curve68-2,1,12,1,1,5,5,2,3,1
curve68-3,1,12,1,1,5,5,2,3,1
curve69-1,1,12,1,1,5,5,2,3,1
curve69-2,1,12,1,1,5,5,2,3,1
curve69-3,1,12,1,1,5,5,2,3,1
curve69-4,1,12,1,1,5,5,2,3,1
curve69-5,1,12,1,1,5,5,2,3,1
curve69-6,1,12,1,1,5,5,2,3,1
curve69-7,1,12,1,1,5,5,2,3,1
curve69-8,1,12,1,1,5,5,2,3,1
curve70-1,1,12,1,1,5,5,2,3,1
curve70-2,1,12,1,1,5,5,2,3,1
curve70-3,1,12,1,1,5,5,2,3,1
curve70-4,1,12,1,1,5,5,2,3,1
curve70-5,1,12,1,1,5,5,2,3,1
curve70-6,1,12,1,1,5,5,2,3,1
curve70-7,1,12,1,1,5,5,2,3,1
curve70-8,1,12,1,1,5,5,2,3,1
curve70-9,1,12,1,1,5,5,2,3,1
curve70-10,1,12,1,1,5,5,2,3,1
curve70-11,1,12,1,1,5,5,2,3,1
